tradition_type,name,slot,description_raw,description_clean
TRADITION_DURANI_II,Dūrāni II,Tradition,+2 [icon:YIELD_CULTURE] Culture in the [icon:NOTIFICATION_SELECT_CAPITAL] Capital and in Settlements not founded by you that were conquered in this Age for every [icon:RADIAL_TECH] Technology Mastery completed this Age.,+2 Culture in the Capital and in Settlements not founded by you that were conquered in this Age for every Technology Mastery completed this Age.
TRADITION_EAST_INDIA_COMPANY_I,East India Company I,Tradition,+2 [icon:YIELD_GOLD] Gold in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP]. +1 [icon:YIELD_SCIENCE] Science in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] adjacent to Coast.,+2 Gold in Towns. +1 Science in Towns adjacent to Coast.
TRADITION_EAST_INDIA_COMPANY_II,East India Company II,Tradition,+5 [icon:YIELD_GOLD] Gold in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP]. +3 [icon:YIELD_SCIENCE] Science in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] adjacent to Coast.,+5 Gold in Towns. +3 Science in Towns adjacent to Coast.
TRADITION_EGYPT_SYNCRETISM_EXPLORATION,Golden Horus I,Tradition,"+1 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP], doubled on Antiquity [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].","+1 Culture and Gold on Wonders, doubled on Antiquity Wonders."
TRADITION_EGYPT_SYNCRETISM_MODERN,Golden Horus II,Tradition,"+2 [icon:YIELD_CULTURE] and [icon:YIELD_GOLD] on [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP], doubled on Antiquity [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].","+2 Culture and Gold on Wonders, doubled on Antiquity Wonders."
TRADITION_ENLIGHTENMENT,Enlightenment,Policy,+2 [icon:YIELD_SCIENCE] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. +1 [icon:YIELD_HAPPINESS] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] on [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+2 Science from Specialists. +1 Happiness Maintenance on Specialists.
TRADITION_ERKAN_I_HARBIYE_MEKTEBI,Erkân-ı Harbiye Mektebi,Tradition,+25% [icon:YIELD_PRODUCTION] Production towards [TIP:LOC_PEDIA_CONCEPTS_SIEGE_UNITS_TOOLTIP]Siege[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_INFANTRY_UNITS_TOOLTIP]Infantry[/TIP] Units. -2 [icon:YIELD_GOLD] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Gold Maintenance[/TIP] for [TIP:LOC_PEDIA_CONCEPTS_LAND_UNITS_TOOLTIP]Land Units[/TIP].,+25% Production towards Siege and Infantry Units. -2 Gold Maintenance for Land Units.
TRADITION_ETHICS,Ethics,Policy,+1 [icon:YIELD_CULTURE] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. +1 [icon:YIELD_HAPPINESS] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] on [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+1 Culture from Specialists. +1 Happiness Maintenance on Specialists.
TRADITION_EVANGELISM,Evangelism,Policy,+1 [icon:Action_Move] Movement for [TIP:LOC_PEDIA_CONCEPTS_CIVILIAN_UNIT_TOOLTIP]Civilian Units[/TIP]. +1 charge for [icon:UNIT_MISSIONARY] Missionaries.,+1 Movement for Civilian Units. +1 charge for Missionaries.
TRADITION_EX_ATTRIBUTE_CULTURAL_01,Classical Revival,Tradition,[TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] gain a +1 [icon:YIELD_HAPPINESS] Adjacency for [icon:WONDER] [TIP:LOC_PEDIA_CONCEPTS_WONDERS_TOOLTIP]Wonders[/TIP].,Buildings gain a +1 Happiness Adjacency for Wonders.
TRADITION_EX_ATTRIBUTE_DIPLOMATIC_01_HAPPINESS,Jubilee,Tradition,+3 to all Yields in your [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] during a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].,+3 to all Yields in your Capital during a Celebration.
TRADITION_EX_ATTRIBUTE_DIPLOMATIC_01_INFLUENCE,Spy Network,Tradition,+30% [icon:YIELD_DIPLOMACY] towards initiating [icon:ESPIONAGE] [TIP:LOC_PEDIA_CONCEPTS_ESPIONAGE_TOOLTIP]Espionage[/TIP] Actions. +2 [icon:YIELD_GOLD] from active [icon:ESPIONAGE] [TIP:LOC_PEDIA_CONCEPTS_ESPIONAGE_TOOLTIP]Espionage[/TIP] Actions you started.,+30% Influence towards initiating Espionage Actions. +2 Gold from active Espionage Actions you started.
TRADITION_EX_ATTRIBUTE_ECONOMIC_01,Supply and Demand,Tradition,+3 [icon:YIELD_GOLD] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_EMPIRE_RESOURCES_TOOLTIP]Empire Resource[/TIP] you have.,+3 Gold for every Empire Resource you have.
TRADITION_EX_ATTRIBUTE_EXPANSIONIST_01_TALL,Municipal Charters,Tradition,[icon:YIELD_WAREHOUSE] Food [TIP:LOC_PEDIA_CONCEPTS_WAREHOUSE_TOOLTIP]Warehouse[/TIP] [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] gain a +1 [icon:YIELD_FOOD] Food Adjacency for [icon:CITY_URBAN] [TIP:LOC_PEDIA_CONCEPTS_DISTRICT_TOOLTIP]Districts[/TIP].,Warehouse Food Warehouse Buildings in Cities gain a +1 Food Adjacency for Districts.
TRADITION_EX_ATTRIBUTE_EXPANSIONIST_01_WIDE,Yanakuna,Tradition,[icon:YIELD_WAREHOUSE] Food [TIP:LOC_PEDIA_CONCEPTS_WAREHOUSE_TOOLTIP]Warehouse[/TIP] [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] gain a +1 [icon:YIELD_FOOD] Food Adjacency for [icon:CITY_RURAL] [TIP:LOC_PEDIA_CONCEPTS_IMPROVEMENT_TOOLTIP]Improvements[/TIP].,Warehouse Food Warehouse Buildings in Towns gain a +1 Food Adjacency for Improvements.
TRADITION_EX_ATTRIBUTE_MILITARISTIC_01,Professional Army,Tradition,"+25% [TIP:LOC_PEDIA_CONCEPTS_EXPERIENCE_TOOLTIP]XP[/TIP] for all [icon:UNIT_ARMY_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Commanders[/TIP], or +50% in [TIP:LOC_PEDIA_CONCEPTS_DISTANT_LANDS_TOOLTIP]Distant Lands[/TIP].","+25% XP for all Commanders, or +50% in Distant Lands."
TRADITION_EX_ATTRIBUTE_SCIENTIFIC_01,Alchemy,Tradition,"When you Overbuild a [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Building[/TIP], gain [icon:YIELD_SCIENCE] equal to 25% of the new Building's [icon:YIELD_PRODUCTION] cost.","When you Overbuild a Building, gain Science equal to 25% of the new Building's Production cost."
TRADITION_FALSE_RETREAT,False Retreat,Tradition,Receive [icon:YIELD_FOOD] Food in all [icon:YIELD_TOWNS] Towns when [icon:Action_Pillage] Pillaging Buildings equal to 50% of the Yield or HP gained. -3 [icon:NAR_REW_COMBAT] Combat Strength for all Combat Units against [icon:CITY_FORTIFIED] Fortified Districts.,Receive Food in all Towns when Pillaging Buildings equal to 50% of the Yield or HP gained. -3 Combat Strength for all Combat Units against Fortified Districts.
TRADITION_FAMILIA_REGIS,Familia Regis,Tradition,The [TIP:LOC_PEDIA_CONCEPTS_PALACE_TOOLTIP]Palace[/TIP] gains a +1 [icon:YIELD_HAPPINESS] Adjacency for [icon:CITY_FORTIFIED] Fortification Constructibles.,The Palace gains a +1 Happiness Adjacency for Fortification Constructibles.
TRADITION_FARMLAND_ASSESSMENT,Farmland Assessment,Tradition,+2 [icon:YIELD_FOOD] Food in [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for each [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to them.,+2 Food in Cities for each Resource assigned to them.
TRADITION_FASCISM_UNIQUE,Supremacy,Tradition,Decrease [icon:RELATIONSHIP] Relationship with Leaders of the opposing [icon:NOTIFICATION_IDEOLOGY_CHOSEN] Ideology with the most completed [icon:RADIAL_TECH] [TIP:LOC_PEDIA_CONCEPTS_TECH_TOOLTIP]Tech[/TIP] and [icon:RADIAL_CIVICS] [TIP:LOC_PEDIA_CONCEPTS_CIVIC_TOOLTIP]Civic[/TIP] Masteries.,Decrease Relationship with Leaders of the opposing Ideology with the most completed Tech and Civic Masteries.
TRADITION_FENGHUO,Fenghuo I,Tradition,+1 [icon:UNIT_MOVEMENT_ICON] Movement and +3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Units on Fortification Buildings and Improvements in your territory. +2 [icon:YIELD_GOLD] on Fortification Buildings and Improvements.,+1 Movement and +3 Combat Strength for Units on Fortification Buildings and Improvements in your territory. +2 Gold on Fortification Buildings and Improvements.
TRADITION_FENGHUO_II,Fenghuo II,Tradition,+1 [icon:UNIT_MOVEMENT_ICON] Movement and +5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Units on Fortification Buildings and Improvements in your territory. +3 [icon:YIELD_GOLD] on Fortification Buildings and Improvements.,+1 Movement and +5 Combat Strength for Units on Fortification Buildings and Improvements in your territory. +3 Gold on Fortification Buildings and Improvements.
TRADITION_FIRESIDE_CHATS,Fireside Chats,Policy,+4 [icon:YIELD_HAPPINESS] from [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP]. -3 [icon:YIELD_GOLD] in [icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP].,+4 Happiness from Specialists. -3 Gold in Towns.
TRADITION_FREE_PRESS,Free Press,Policy,[icon:YIELD_TOWNS] [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Towns[/TIP] gain [icon:YIELD_CULTURE] equal to your [icon:ATTRIBUTE_CULTURAL] Cultural [TIP:LOC_PEDIA_CONCEPTS_ATTRIBUTE_TOOLTIP]Attribute[/TIP]. -5 [icon:YIELD_SCIENCE] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP].,Towns gain Culture equal to your Cultural Attribute. -5 Science in Cities.
TRADITION_FREE_SPEECH,Free Speech,Policy,+50% [icon:YIELD_FOOD] and [icon:YIELD_HAPPINESS] towards maintaining [icon:SPECIALIST] [TIP:LOC_PEDIA_CONCEPTS_SPECIALIST_TOOLTIP]Specialists[/TIP].,+50% Food and Happiness towards maintaining Specialists.
TRADITION_FRENCH_EMPIRE_SYNCRETISM_ANTIQUITY,De l'Esprit des Loix I,Tradition,+2 [icon:YIELD_CULTURE] for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted into the [icon:GOVERNMENT] Government. +2 [icon:YIELD_HAPPINESS] for every [icon:SOCIAL_POLICY] [TIP:LOC_PEDIA_CONCEPTS_SOCIAL_POLICY_TOOLTIP]Social Policy[/TIP] slotted into the [icon:GOVERNMENT] Government.,+2 Culture for every Tradition slotted into the Government. +2 Happiness for every Social Policy slotted into the Government.
TRADITION_FRENCH_EMPIRE_SYNCRETISM_EXPLORATION,De l'Esprit des Loix II,Tradition,+3 [icon:YIELD_CULTURE] for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted into the [icon:GOVERNMENT] Government. +3 [icon:YIELD_HAPPINESS] for every [icon:SOCIAL_POLICY] [TIP:LOC_PEDIA_CONCEPTS_SOCIAL_POLICY_TOOLTIP]Social Policy[/TIP] slotted into the [icon:GOVERNMENT] Government.,+3 Culture for every Tradition slotted into the Government. +3 Happiness for every Social Policy slotted into the Government.
TRADITION_FUKOKU_KYOHEI_I,Fukoku Kyōhei I,Tradition,"+25% [icon:YIELD_PRODUCTION] towards [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP]. When you train a Naval Unit, receive [icon:YIELD_SCIENCE] equal to 25% of its [icon:YIELD_PRODUCTION] cost.","+25% Production towards Naval Units. When you train a Naval Unit, receive Science equal to 25% of its Production cost."
TRADITION_FUKOKU_KYOHEI_II,Fukoku Kyōhei II,Tradition,"+25% [icon:YIELD_PRODUCTION] towards [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval[/TIP] and [TIP:LOC_PEDIA_CONCEPTS_AIR_UNITS_TOOLTIP]Aircraft[/TIP] Units. When you train a Naval or Aircraft Unit, receive [icon:YIELD_SCIENCE] equal to 25% of its [icon:YIELD_PRODUCTION] cost.","+25% Production towards Naval and Aircraft Units. When you train a Naval or Aircraft Unit, receive Science equal to 25% of its Production cost."
TRADITION_GAULOS_I,Gaulos I,Tradition,+25% [icon:YIELD_GOLD] Gold towards purchasing [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] and [icon:CITY_BUILDING_LIST] Water [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP]. +1 [icon:YIELD_GOLD] Gold in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Town[/TIP].,+25% Gold towards purchasing Naval Units and Water Buildings. +1 Gold in the Capital for every Town.
TRADITION_GAULOS_II,Gaulos II,Tradition,+25% [icon:YIELD_GOLD] Gold towards purchasing [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP] and [icon:CITY_BUILDING_LIST] Water [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP]. +3 [icon:YIELD_GOLD] Gold in the [icon:NOTIFICATION_SELECT_CAPITAL] [TIP:LOC_PEDIA_CONCEPTS_CAPITAL_TOOLTIP]Capital[/TIP] for every [TIP:LOC_PEDIA_CONCEPTS_TOWN_TOOLTIP]Town[/TIP].,+25% Gold towards purchasing Naval Units and Water Buildings. +3 Gold in the Capital for every Town.
TRADITION_GENDARMERIE,Gendarmerie,Tradition,-4 [icon:YIELD_HAPPINESS] in each [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlement[/TIP] without a [TIP:LOC_PEDIA_CONCEPTS_GARRISONED_TOOLTIP]Garrisoned[/TIP] Unit.,-4 Happiness in each Settlement without a Garrisoned Unit.
TRADITION_GENERAL_MOROZ_I,General Moroz I,Tradition,"+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Units in Tundra. Your Units, Buildings, and Improvements are immune to damage from Blizzards.","+3 Combat Strength for Units in Tundra. Your Units, Buildings, and Improvements are immune to damage from Blizzards."
TRADITION_GENERAL_MOROZ_II,General Moroz II,Tradition,"+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Units in Tundra. Enemy Units in your territory take double damage from Blizzards. Your Units, Buildings, and Improvements are immune to damage from Blizzards.","+5 Combat Strength for Units in Tundra. Enemy Units in your territory take double damage from Blizzards. Your Units, Buildings, and Improvements are immune to damage from Blizzards."
TRADITION_GEREGE,Gerege,Tradition,+4 [icon:YIELD_HAPPINESS] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age for each [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to them.,+4 Happiness in Captured Settlements from any Age for each Resource assigned to them.
TRADITION_GIFT_ECONOMY,Gift Economy I,Tradition,+1 [icon:YIELD_GOLD] and [icon:YIELD_HAPPINESS] for every imported [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP].,+1 Gold and Happiness for every imported Resource.
TRADITION_GIFT_ECONOMY_II,Gift Economy II,Tradition,+2 [icon:YIELD_GOLD] and +2 [icon:YIELD_HAPPINESS] from imported [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resources[/TIP].,+2 Gold and +2 Happiness from imported Resources.
TRADITION_GIRRU,Girru I,Tradition,"+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Cavalry Units within an [icon:UNIT_ARMY_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Army Commander's[/TIP] Radius. +3 [icon:YIELD_PRODUCTION] Production, [icon:YIELD_SCIENCE] Science, and [icon:YIELD_FOOD] Food in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age.","+5 Combat Strength for Cavalry Units within an Army Commander's Radius. +3 Production, Science, and Food in Captured Settlements from any Age."
TRADITION_GIRRU_II,Girru II,Tradition,"+5 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for Cavalry Units within an [icon:UNIT_ARMY_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Army Commander's[/TIP] Radius. +5 [icon:YIELD_PRODUCTION] Production, [icon:YIELD_SCIENCE] Science, and [icon:YIELD_FOOD] Food in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Captured Settlements[/TIP] from any Age.","+5 Combat Strength for Cavalry Units within an Army Commander's Radius. +5 Production, Science, and Food in Captured Settlements from any Age."
TRADITION_GOLD_RUSH_I,Gold Rush I,Tradition,+1 [icon:YIELD_GOLD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] for every [icon:RADIAL_RESOURCES] [TIP:LOC_PEDIA_CONCEPTS_RESOURCES_TOOLTIP]Resource[/TIP] assigned to them.,+1 Gold in Settlements for every Resource assigned to them.
TRADITION_GOLD_RUSH_II,Gold Rush II,Tradition,+4 [icon:YIELD_GOLD] in [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] for every [icon:RADIAL_RESOURCES] Resource assigned to them.,+4 Gold in Settlements for every Resource assigned to them.
TRADITION_GRAND_ALLIANCE,Grand Alliance,Tradition,+10% [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] and -1 [icon:YIELD_GOLD] [TIP:LOC_PEDIA_CONCEPTS_MAINTENANCE_TOOLTIP]Maintenance[/TIP] for Units for every [icon:PLAYER_RELATIONSHIP_ALLIANCE] [TIP:LOC_PEDIA_CONCEPTS_ALLIANCE_TOOLTIP]Alliance[/TIP] you ahve.,+10% Production in Cities and -1 Gold Maintenance for Units for every Alliance you ahve.
TRADITION_GRAND_SECRETARIAT_I,Grand Secretariat I,Tradition,+2 [icon:YIELD_SCIENCE] Science on [icon:YIELD_GOLD] Gold Buildings and +2 [icon:YIELD_GOLD] Gold on [icon:YIELD_SCIENCE] Science buildings.,+2 Science on Gold Buildings and +2 Gold on Science buildings.
TRADITION_GRAND_SECRETARIAT_II,Grand Secretariat II,Tradition,+3 [icon:YIELD_SCIENCE] Science on [icon:YIELD_GOLD] Gold Buildings and +3 [icon:YIELD_GOLD] Gold on [icon:YIELD_SCIENCE] Science Buildings.,+3 Science on Gold Buildings and +3 Gold on Science Buildings.
TRADITION_GREAT_AND_MOST_FORTUNATE_NAVY_I,Great and Most Fortunate Navy I,Tradition,+50% [icon:YIELD_PRODUCTION] towards training [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP]. [icon:UNIT_FLEET_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Fleet Commanders[/TIP] gain the [TIP:LOC_PROMOTION_FLEET_FLOTILLA_DESCRIPTION]Flotilla Promotion[/TIP] for free.,+50% Production towards training Naval Units. Fleet Commanders gain the Flotilla Promotion for free.
TRADITION_GREAT_AND_MOST_FORTUNATE_NAVY_II,Great and Most Fortunate Navy II,Tradition,+100% [icon:YIELD_PRODUCTION] towards training [TIP:LOC_PEDIA_CONCEPTS_NAVAL_UNITS_TOOLTIP]Naval Units[/TIP]. [icon:UNIT_FLEET_COMMANDER] [TIP:LOC_PEDIA_CONCEPTS_COMMANDER_TOOLTIP]Fleet Commanders[/TIP] gain the [TIP:LOC_PROMOTION_FLEET_FLOTILLA_DESCRIPTION]Flotilla Promotion[/TIP] for free.,+100% Production towards training Naval Units. Fleet Commanders gain the Flotilla Promotion for free.
TRADITION_GREAT_BRITAIN_SYNCRETISM_ANTIQUITY,Royal Society I,Tradition,+1 [icon:YIELD_SCIENCE] Science on [icon:YIELD_CULTURE] Culture Buildings adjacent to Coast. +1 [icon:YIELD_CULTURE] Culture on [icon:YIELD_SCIENCE] Science Buildings adjacent to Coast.,+1 Science on Culture Buildings adjacent to Coast. +1 Culture on Science Buildings adjacent to Coast.
TRADITION_GREAT_BRITAIN_SYNCRETISM_EXPLORATION,Royal Society II,Tradition,+2 [icon:YIELD_SCIENCE] Science on [icon:YIELD_CULTURE] Culture Buildings adjacent to Coast. +2 [icon:YIELD_CULTURE] Culture on [icon:YIELD_SCIENCE] Science Buildings adjacent to Coast.,+2 Science on Culture Buildings adjacent to Coast. +2 Culture on Science Buildings adjacent to Coast.
TRADITION_GREECE_SYNCRETISM_EXPLORATION,Hellenism I,Tradition,+1 [icon:YIELD_HAPPINESS] and [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for each [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+1 Happiness and Production in Cities for each City-State you are Suzerain of.
TRADITION_GREECE_SYNCRETISM_MODERN,Hellenism II,Tradition,+2 [icon:YIELD_HAPPINESS] and [icon:YIELD_PRODUCTION] in [icon:YIELD_CITIES] [TIP:LOC_PEDIA_CONCEPTS_CITIES_TOOLTIP]Cities[/TIP] for each [TIP:LOC_PEDIA_CONCEPTS_CITY_STATE_TOOLTIP]City-State[/TIP] you are [TIP:LOC_PEDIA_CONCEPTS_SUZERAIN_TOOLTIP]Suzerain[/TIP] of.,+2 Happiness and Production in Cities for each City-State you are Suzerain of.
TRADITION_GUNPOWDER_EMPIRE,Gunpowder Empire,Tradition,+3 [icon:NAR_REW_COMBAT] [TIP:LOC_PEDIA_CONCEPTS_COMBAT_STRENGTH_TOOLTIP]Combat Strength[/TIP] for all Units.,+3 Combat Strength for all Units.
TRADITION_HAAB_I,Haab' I,Tradition,+2 [icon:YIELD_CULTURE] on Happiness [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP].,+2 Culture on Happiness Buildings.
TRADITION_HAAB_II,Haab' II,Tradition,"+2 [icon:YIELD_CULTURE] on Happiness [TIP:LOC_PEDIA_CONCEPTS_BUILDINGS_TOOLTIP]Buildings[/TIP], doubled while in a [icon:CELEBRATION] [TIP:LOC_PEDIA_CONCEPTS_CELEBRATIONS_TOOLTIP]Celebration[/TIP].","+2 Culture on Happiness Buildings, doubled while in a Celebration."
TRADITION_HAN_SYNCRETISM_EXPLORATION,Capable Rule I,Tradition,+1 [icon:YIELD_SCIENCE] in Cities for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted in the [icon:GOVERNMENT] Government.,+1 Science in Cities for every Tradition slotted in the Government.
TRADITION_HAN_SYNCRETISM_MODERN,Capable Rule II,Tradition,+2 [icon:YIELD_SCIENCE] in Cities for every [icon:TRADITION] [TIP:LOC_PEDIA_CONCEPTS_TRADITION_TOOLTIP]Tradition[/TIP] slotted in the [icon:GOVERNMENT] Government.,+2 Science in Cities for every Tradition slotted in the Government.
TRADITION_HAWAII_SYNCRETISM_ANTIQUITY,Hōkūle'a I,Tradition,+1 [icon:YIELD_CULTURE] on Districts and [icon:CITY_RURAL] Unique Improvements adjacent to Coast.,+1 Culture on Districts and Unique Improvements adjacent to Coast.
TRADITION_HAWAII_SYNCRETISM_MODERN,Hōkūle'a II,Tradition,+2 [icon:YIELD_CULTURE] on Districts and [icon:CITY_RURAL] Unique Improvements adjacent to Coast. +4 [icon:YIELD_CULTURE] on Volcanoes.,+2 Culture on Districts and Unique Improvements adjacent to Coast. +4 Culture on Volcanoes.
TRADITION_HEALING_CULTS,Healing Cults,Tradition,+5 [icon:YIELD_HAPPINESS] on Altars in [icon:YIELD_PLAGUE] [TIP:LOC_PEDIA_CONCEPTS_INFECTED_TOOLTIP]Infected[/TIP] [TIP:LOC_PEDIA_CONCEPTS_SETTLEMENT_TOOLTIP]Settlements[/TIP] but -10 [icon:YIELD_GOLD] on Altars.,+5 Happiness on Altars in Infected Settlements but -10 Gold on Altars.
TRADITION_HELIKHILENAWEWIPE_I,Helikhilenawewipe I,Tradition,+33% [icon:YIELD_DIPLOMACY] Influence towards the initiating and progressing the [icon:PROJECT] Befriend Independent Project.,+33% Influence towards the initiating and progressing the Befriend Independent Project.
TRADITION_HELIKHILENAWEWIPE_II,Helikhilenawewipe II,Tradition,+50% [icon:YIELD_DIPLOMACY] Influence towards the initiating and progressing the [icon:PROJECT] Befriend Independent Project.,+50% Influence towards the initiating and progressing the Befriend Independent Project.
